TIMESTAMP_START,TIMESTAMP_END,DTime,FC
200201032100,200201032130,3.896,-9999
200201032130,200201032200,3.917,-9999
200201032200,200201032230,3.938,-9999
200201032230,200201032300,3.958,-9999
200201032300,200201032330,3.979,-9999
200201032330,200201040000,4,-9999
200201040000,200201040030,4.021,-9999
200201040030,200201040100,4.042,-9999
200201040100,200201040130,4.062,-9999
200201040130,200201040200,4.083,-9999
200201040200,200201040230,4.104,-9999
200201040230,200201040300,4.125,-9999
200201040300,200201040330,4.146,-9999
200201040330,200201040400,4.167,-9999
200201040400,200201040430,4.188,-9999
200201040430,200201040500,4.208,-9999
200201040500,200201040530,4.229,-9999
200201040530,200201040600,4.25,-9999
200201040600,200201040630,4.271,-9999
200201040630,200201040700,4.292,-9999
200201040700,200201040730,4.312,-9999
200201040730,200201040800,4.333,-9999
200201040800,200201040830,4.354,-9999
200201040830,200201040900,4.375,-9999
200208201200,200208201230,232.521,-16.1116913807391
200208201230,200208201300,232.542,-21.3732744569055
200208201300,200208201330,232.562,-20.1403909905454
200208201330,200208201400,232.583,-16.5392650875715
200208201400,200208201430,232.604,-17.9805334270968
200212312000,200212312030,365.854,1.81625884020918
200212312030,200212312100,365.875,0.495109277801324
200212312100,200212312130,365.896,0.227114137446004
200212312130,200212312200,365.917,0.541561529008013
200212312200,200212312230,365.938,-0.22830460785967
200212312230,200212312300,365.958,0.0201215090034235
200212312300,200212312330,365.979,-0.0230464666151227
200212312330,200701010000,366,-0.281871464710228
